user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform,prouductivity_score_hours,productivity_score_hours
1,44,2.39,1.93,8.46,61,3.73,33.86,Low,YouTube,9.077747989276139,9.077747989276139
2,30,7.22,5.24,7.34,Null,6.8,85.32,Low,YouTube,12.547058823529412,12.547058823529412
3,Null,2.56,Null,4.69,8,4.47,60.07,High,YouTube,13.43847874720358,13.43847874720358
4,36,8.75,4.89,5.05,53,9.53,36.46,Medium,LinkedIn,3.8258132214060865,3.8258132214060865
5,34,10.96,2.77,7.12,83,7.01,32.93,Medium,Instagram,4.697574893009985,4.697574893009985
6,38,5.78,5.3,5.87,113,8.78,32.74,Low,Instagram,3.728929384965832,3.728929384965832
7,26,6.37,6.72,3.49,10,2.03,6.58,Low,LinkedIn,3.241379310344828,3.241379310344828
8,26,11.2,7.99,3.85,18,5.05,11.03,High,Snapchat,2.1841584158415843,2.1841584158415843
9,39,6.73,6.79,7.47,102,1.37,9.88,High,LinkedIn,7.211678832116788,7.211678832116788
10,39,6.36,Null,4.97,73,9.06,31.91,High,YouTube,3.5220750551876376,3.5220750551876376
11,18,7.36,1.95,6.05,4,2.32,47.92,High,Instagram,20.655172413793107,20.655172413793107
12,37,8.58,5.61,7.6,102,8.25,15.61,High,LinkedIn,1.892121212121212,1.892121212121212
13,17,2.18,7.53,7.51,86,9.31,82.97,Low,YouTube,8.911922663802363,8.911922663802363
14,39,10.03,2.09,4.0,69,4.98,7.5,Low,YouTube,1.506024096385542,1.506024096385542
15,45,5.79,2.42,3.59,94,4.5,94.59,Medium,Twitter,21.02,21.02
16,17,1.8,1.62,6.55,17,6.4,8.37,Medium,Snapchat,1.3078124999999998,1.3078124999999998
17,36,9.65,6.03,7.45,20,7.66,89.57,Medium,Snapchat,11.693211488250652,11.693211488250652
18,48,5.15,3.55,3.89,14,6.81,26.81,Low,Snapchat,3.9368575624082234,3.9368575624082234
19,27,2.1,0.97,5.23,58,1.01,98.69,Medium,Instagram,97.7128712871287,97.7128712871287
20,37,7.97,7.06,8.22,94,8.07,52.61,Medium,Instagram,6.519206939281289,6.519206939281289
21,40,10.68,4.68,8.67,73,2.33,2.81,High,Instagram,1.206008583690987,1.206008583690987
