user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform,productivity_hours
1,44,2.39,1.93,8.46,61,3.73,33.86,Low,YouTube,14.1673640167364
2,30,7.22,5.24,7.34,Null,6.8,85.32,Low,YouTube,11.817174515235456
3,Null,2.56,Null,4.69,8,4.47,60.07,High,YouTube,23.46484375
4,36,8.75,4.89,5.05,53,9.53,36.46,Medium,LinkedIn,4.166857142857143
5,34,10.96,2.77,7.12,83,7.01,32.93,Medium,Instagram,3.00456204379562
6,38,5.78,5.3,5.87,113,8.78,32.74,Low,Instagram,5.664359861591696
7,26,6.37,6.72,3.49,10,2.03,6.58,Low,LinkedIn,1.0329670329670328
8,26,11.2,7.99,3.85,18,5.05,11.03,High,Snapchat,0.9848214285714286
9,39,6.73,6.79,7.47,102,1.37,9.88,High,LinkedIn,1.4680534918276376
10,39,6.36,Null,4.97,73,9.06,31.91,High,YouTube,5.017295597484276
11,18,7.36,1.95,6.05,4,2.32,47.92,High,Instagram,6.510869565217392
12,37,8.58,5.61,7.6,102,8.25,15.61,High,LinkedIn,1.8193473193473193
13,17,2.18,7.53,7.51,86,9.31,82.97,Low,YouTube,38.059633027522935
14,39,10.03,2.09,4.0,69,4.98,7.5,Low,YouTube,0.7477567298105683
15,45,5.79,2.42,3.59,94,4.5,94.59,Medium,Twitter,16.33678756476684
16,17,1.8,1.62,6.55,17,6.4,8.37,Medium,Snapchat,4.6499999999999995
17,36,9.65,6.03,7.45,20,7.66,89.57,Medium,Snapchat,9.281865284974092
18,48,5.15,3.55,3.89,14,6.81,26.81,Low,Snapchat,5.205825242718446
19,27,2.1,0.97,5.23,58,1.01,98.69,Medium,Instagram,46.99523809523809
20,37,7.97,7.06,8.22,94,8.07,52.61,Medium,Instagram,6.601003764115433
21,40,10.68,4.68,8.67,73,2.33,2.81,High,Instagram,0.26310861423220977
22,42,10.77,2.98,5.72,5,5.05,28.98,High,Instagram,2.690807799442897
23,43,11.53,3.08,3.48,23,3.54,94.08,Medium,YouTube,8.159583694709454
24,31,10.54,2.68,4.55,96,9.35,30.67,High,Snapchat,2.909867172675522
25,30,1.02,3.92,4.4,59,5.52,36.6,Medium,Instagram,35.88235294117647
26,18,5.18,3.03,4.43,27,5.7,5.37,High,Snapchat,1.0366795366795367
27,22,10.0,4.61,5.96,91,1.69,26.07,Low,YouTube,2.607
28,36,5.03,6.3,6.5,73,9.08,26.67,Low,Instagram,5.3021868787276345
29,24,7.62,5.56,3.74,22,3.15,71.88,Low,Twitter,9.433070866141732
30,33,7.67,2.71,8.34,78,4.73,51.07,Medium,LinkedIn,6.658409387222947
31,19,5.02,4.47,6.72,45,9.87,16.94,Medium,Instagram,3.374501992031873
32,40,10.95,6.8,6.58,111,2.03,79.76,Medium,Instagram,7.284018264840183
33,29,6.54,1.01,8.92,36,7.47,61.54,High,Twitter,9.409785932721713
34,24,6.11,1.09,6.77,13,3.34,27.58,Medium,YouTube,4.513911620294598
35,41,11.97,4.67,8.57,47,4.78,23.15,Medium,LinkedIn,1.934001670843776
36,17,6.43,5.29,4.72,77,4.76,92.57,Low,YouTube,14.396578538102643
37,35,2.96,2.09,4.44,70,9.39,64.07,Medium,Twitter,21.645270270270267
38,43,6.64,6.09,6.1,114,1.09,80.93,High,Instagram,12.188253012048195
39,22,9.95,5.35,6.05,35,4.3,23.33,Low,LinkedIn,2.3447236180904523
40,23,9.55,7.42,4.36,81,8.67,59.28,Low,YouTube,6.207329842931937
41,29,9.67,1.77,7.2,59,9.19,6.3,High,Instagram,0.6514994829369183
42,32,8.79,6.14,3.18,53,3.8,59.88,Medium,Snapchat,6.812286689419796
43,19,3.8,1.13,7.14,116,3.18,21.15,Low,Twitter,5.565789473684211
44,17,10.48,4.74,5.74,78,5.15,67.24,Low,YouTube,6.416030534351144
45,21,10.83,4.64,7.13,112,7.71,93.26,Medium,Snapchat,8.611265004616806
46,19,3.14,3.41,5.86,62,2.39,46.41,High,YouTube,14.780254777070063
47,44,2.44,6.83,8.86,96,8.06,31.23,Medium,YouTube,12.799180327868854
48,33,11.73,0.53,5.01,119,5.61,13.2,High,Snapchat,1.125319693094629
49,41,10.55,4.4,8.9,110,2.27,67.39,Medium,Twitter,6.387677725118483
50,49,10.83,2.13,3.39,47,7.05,58.83,Low,Twitter,5.432132963988919
51,25,10.75,6.08,7.1,119,6.65,54.91,Medium,Snapchat,5.107906976744186
52,29,6.96,0.82,5.73,21,6.6,93.66,Medium,Twitter,13.456896551724137
53,46,8.11,6.74,7.93,42,7.79,97.84,Low,LinkedIn,12.06411837237978
54,30,7.0,6.79,7.74,40,2.63,71.98,Low,LinkedIn,10.282857142857143
55,23,1.56,6.75,7.8,16,7.28,20.4,High,Instagram,13.076923076923075
56,29,9.2,1.64,3.57,62,8.99,94.73,High,Snapchat,10.296739130434784
57,38,6.56,5.23,7.93,89,5.77,35.15,Medium,LinkedIn,5.358231707317073
58,36,8.12,0.61,4.28,78,5.37,8.84,Medium,YouTube,1.0886699507389164
59,31,6.53,6.86,3.15,103,8.18,24.87,Low,Twitter,3.8085758039816233
60,33,6.41,5.92,4.31,17,2.32,83.21,Low,LinkedIn,12.981279251170045
61,39,2.89,4.48,5.88,71,4.07,21.17,Medium,LinkedIn,7.325259515570934
62,41,4.07,5.98,7.45,2,8.68,40.11,Medium,Snapchat,9.855036855036854
63,40,2.75,1.21,4.31,53,5.5,28.08,Medium,YouTube,10.210909090909091
64,44,3.15,4.46,3.68,118,8.56,5.73,High,LinkedIn,1.8190476190476192
65,30,11.7,2.68,6.88,114,3.27,56.61,Medium,YouTube,4.838461538461539
66,16,2.68,7.79,8.9,13,4.51,63.25,Low,Twitter,23.600746268656714
67,40,3.96,6.93,6.61,33,8.41,79.32,Medium,Twitter,20.030303030303028
68,22,7.5,6,7.15,96,2.47,42.05,Low,Twitter,5.6066666666666665
69,24,7.71,7.5,6.37,100,9.05,14.99,Low,Instagram,1.9442282749675746
70,39,2.69,3.1,7.69,112,3.79,65.56,High,Snapchat,24.37174721189591
71,16,9.73,7.26,8.85,0,9.75,89.12,Low,Twitter,9.159301130524153
72,23,9.64,2.94,6.26,116,8.45,12.86,High,Instagram,1.33402489626556
73,39,3.61,6,5.5,47,5.1,19.08,Medium,Instagram,5.285318559556786
74,26,4.18,6.02,8.16,98,7.68,33.59,Low,Snapchat,8.035885167464116
75,32,11.32,0.64,8.82,9,6.0,65.38,Medium,Twitter,5.775618374558303
76,23,10.08,3.21,3.78,82,8.68,52.86,Medium,Snapchat,5.244047619047619
77,48,8.68,0.65,6.47,10,5.66,71.52,Low,Snapchat,8.23963133640553
78,20,1.9,7.98,7.75,118,9.89,4.1,Medium,LinkedIn,2.1578947368421053
79,43,5.6,1.42,6.2,98,2.2,81.24,Low,Snapchat,14.507142857142858
80,22,7.15,4.57,5.46,65,7.09,98.76,Low,Instagram,13.812587412587412
81,24,3.06,6.43,6.93,2,3.21,5.62,Medium,Twitter,1.8366013071895424
82,23,5.93,2.01,4.62,14,2.72,50.05,Low,Snapchat,8.440134907251265
83,27,7.61,4.14,5.09,58,4.67,74.25,High,Instagram,9.756898817345597
